plant_name,medical_uses,cures_disease,image_path
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4253.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4254.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4255.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4256.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4257.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4258.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4259.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4260.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4261.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4262.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4263.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4264.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4265.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4266.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4267.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4268.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4269.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4270.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4271.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4272.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4273.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4274.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4275.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4276.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4277.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4278.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4279.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4280.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4281.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4282.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4283.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4284.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4285.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4286.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4287.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4288.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4289.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4290.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4291.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4292.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4293.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4294.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4295.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4296.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4297.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4298.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4299.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4300.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4301.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4302.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4303.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4304.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4305.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4306.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4307.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4308.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4309.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4310.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4311.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4312.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4313.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4314.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4315.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4316.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4317.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4318.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4319.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4320.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4321.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4322.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4323.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4324.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4325.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4326.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4327.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4328.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4329.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4330.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4331.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4332.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4333.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4334.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4335.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4336.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4337.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4338.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4339.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4340.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4341.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4342.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4343.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4344.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4345.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4346.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4347.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4348.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4349.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4350.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4351.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4352.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4353.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4354.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4355.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4356.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4357.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4358.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4359.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4360.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4361.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4362.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4363.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4364.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4365.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4366.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4367.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\859.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\860.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\861.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\862.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\863.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\864.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\865.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\866.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\867.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\868.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\869.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\870.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\871.jpg
Amla,"Immunity booster, improves skin","Cold, diabetes, aging issues",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Amla\1300.jpg
Amla,"Immunity booster, improves skin","Cold, diabetes, aging issues",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Amla\1301.jpg
